backbone,donor,target,delta_nll,kl,C_forward
Llama-3.2-3B,6,23,0.08056640625,0.09494357649236917,0.17550998274236917
Llama-3.2-3B,1,23,0.083984375,0.09425008296966553,0.17823445796966553
Llama-3.2-3B,10,23,0.0869140625,0.09475590195506811,0.1816699644550681
Llama-3.2-3B,6,22,0.08154296875,0.10063818283379078,0.18218115158379078
Llama-3.2-3B,2,23,0.08642578125,0.09703077841550112,0.18345655966550112
Llama-3.2-3B,1,22,0.08056640625,0.10303812846541405,0.18360453471541405
Llama-3.2-3B,8,23,0.08642578125,0.0977505799382925,0.1841763611882925
Llama-3.2-3B,9,23,0.0888671875,0.09544133301824331,0.1843085205182433
Llama-3.2-3B,3,23,0.08837890625,0.09602785296738148,0.18440675921738148
Llama-3.2-3B,11,23,0.08935546875,0.09522844851016998,0.18458391726016998
Llama-3.2-3B,4,23,0.09033203125,0.09562467318028212,0.18595670443028212
Llama-3.2-3B,7,23,0.09521484375,0.09262603148818016,0.18784087523818016
Llama-3.2-3B,7,22,0.08984375,0.09856386575847864,0.18840761575847864
Llama-3.2-3B,2,22,0.08740234375,0.1021521957591176,0.1895545395091176
Llama-3.2-3B,0,23,0.0947265625,0.09604607801884413,0.19077264051884413
Llama-3.2-3B,10,22,0.08740234375,0.10377662628889084,0.19117897003889084
Llama-3.2-3B,5,23,0.09521484375,0.09863397665321827,0.19384882040321827
Llama-3.2-3B,9,22,0.09228515625,0.10330545902252197,0.19559061527252197
Llama-3.2-3B,4,22,0.09130859375,0.10510003566741943,0.19640862941741943
Llama-3.2-3B,11,22,0.09423828125,0.1057180454954505,0.1999563267454505
Llama-3.2-3B,5,22,0.091796875,0.10855859238654375,0.20035546738654375
Llama-3.2-3B,13,23,0.1005859375,0.10020588058978319,0.2007918180897832
Llama-3.2-3B,3,22,0.09423828125,0.1074961181730032,0.2017343994230032
Llama-3.2-3B,0,22,0.09716796875,0.10514560248702765,0.20231357123702765
Llama-3.2-3B,8,22,0.0947265625,0.10896607302129269,0.2036926355212927
Llama-3.2-3B,12,23,0.10302734375,0.10362552013248205,0.20665286388248205
Llama-3.2-3B,14,23,0.10302734375,0.10438132006675005,0.20740866381675005
Llama-3.2-3B,12,22,0.10400390625,0.11389457248151302,0.21789847873151302
Llama-3.2-3B,15,23,0.1103515625,0.10834009293466806,0.21869165543466806
Llama-3.2-3B,16,23,0.11083984375,0.11567522212862968,0.22651506587862968
Llama-3.2-3B,13,22,0.111328125,0.11719164624810219,0.2285197712481022
Llama-3.2-3B,16,22,0.109375,0.12187645863741636,0.23125145863741636
Llama-3.2-3B,14,22,0.11474609375,0.12457757443189621,0.2393236681818962
Llama-3.2-3B,17,23,0.11962890625,0.12496241088956594,0.24459131713956594
Llama-3.2-3B,24,23,0.1298828125,0.11481040995568037,0.24469322245568037
Llama-3.2-3B,3,9,0.119140625,0.12742313090711832,0.24656375590711832
Llama-3.2-3B,23,22,0.12158203125,0.1260047359392047,0.2475867671892047
Llama-3.2-3B,10,9,0.11767578125,0.13138927798718214,0.24906505923718214
Llama-3.2-3B,17,22,0.11572265625,0.13637011032551527,0.25209276657551527
Llama-3.2-3B,15,22,0.12548828125,0.12666862271726131,0.2521569039672613
Llama-3.2-3B,18,23,0.1240234375,0.13105280604213476,0.25507624354213476
Llama-3.2-3B,21,23,0.125,0.13429539371281862,0.2592953937128186
Llama-3.2-3B,19,23,0.13232421875,0.12735730316489935,0.25968152191489935
Llama-3.2-3B,24,22,0.1279296875,0.1320342719554901,0.2599639594554901
Llama-3.2-3B,7,9,0.12158203125,0.14022443257272243,0.26180646382272243
Llama-3.2-3B,19,22,0.1259765625,0.14012233912944794,0.26609890162944794
Llama-3.2-3B,12,26,0.12548828125,0.142911896109581,0.268400177359581
Llama-3.2-3B,6,9,0.13037109375,0.14207859430462122,0.2724496880546212
Llama-3.2-3B,0,26,0.13134765625,0.14122761692851782,0.2725752731785178
Llama-3.2-3B,10,26,0.13232421875,0.14049845468252897,0.272822673432529
Llama-3.2-3B,11,26,0.134765625,0.13955320976674557,0.27431883476674557
Llama-3.2-3B,4,21,0.13037109375,0.1445988742634654,0.2749699680134654
Llama-3.2-3B,22,23,0.1376953125,0.1374392295256257,0.2751345420256257
Llama-3.2-3B,20,23,0.13916015625,0.1360202208161354,0.2751803770661354
Llama-3.2-3B,11,9,0.126953125,0.1489290203899145,0.2758821453899145
Llama-3.2-3B,7,26,0.13330078125,0.14267156925052404,0.27597235050052404
Llama-3.2-3B,1,26,0.1337890625,0.1439866442233324,0.2777757067233324
Llama-3.2-3B,0,20,0.13330078125,0.14457337744534016,0.27787415869534016
Llama-3.2-3B,4,26,0.1396484375,0.14000931195914745,0.27965774945914745
Llama-3.2-3B,8,26,0.13916015625,0.14120463375002146,0.28036479000002146
Llama-3.2-3B,2,8,0.1240234375,0.1568846283480525,0.2809080658480525
Llama-3.2-3B,0,21,0.1396484375,0.14145464450120926,0.28110308200120926
Llama-3.2-3B,3,26,0.13916015625,0.14256757404655218,0.2817277302965522
Llama-3.2-3B,5,20,0.1357421875,0.1460088100284338,0.2817509975284338
