backbone,nominal_target,actual_compression,group_id,members,group_size,representative,Delta,delta,envelope_gap
Llama-3.2-3B,15,13.9527269958,0,"[19, 20, 21, 22, 23, 24]",6,22,0.46222844906151295,0.3752640765160322,0.08696437254548073
Llama-3.2-3B,15,13.9527269958,1,"[25, 26]",2,26,0.35139366053044796,0.3388184066861868,0.01257525384426117
Llama-3.2-3B,20,20.9290909294,0,"[16, 17, 18]",3,16,0.6421355288475752,0.4701670687645674,0.1719684600830078
Llama-3.2-3B,20,20.9290909294,1,"[19, 20, 21, 22, 23, 24, 25, 26]",8,22,0.6695501133799553,0.3927880022674799,0.2767621111124754
Llama-3.2-3B,25,25.5800002185,0,"[14, 15, 16, 17, 18]",5,18,0.6421355288475752,0.5193697083741426,0.12276582047343254
Llama-3.2-3B,25,25.5800002185,1,"[19, 20, 21, 22, 23, 24, 25, 26]",8,22,0.6695501133799553,0.3927880022674799,0.2767621111124754
Llama-3.1-8B,15,14.9381305907,0,"[22, 23, 24, 25, 26, 27, 28, 29]",8,26,0.48740509897470474,0.22850245237350464,0.2589026466012001
Llama-3.1-8B,20,19.3255536784,0,"[20, 21]",2,21,0.32484547793865204,0.28453080356121063,0.040314674377441406
Llama-3.1-8B,20,19.3255536784,1,"[22, 23, 24, 25, 26, 27, 28, 29, 30]",9,25,0.9718241058290005,0.4024750180542469,0.5693490877747536
Llama-3.1-8B,25,25.90668831,0,"[17, 18, 19, 20, 21]",5,21,0.39881463535130024,0.29385740123689175,0.10495723411440849
Llama-3.1-8B,25,25.90668831,1,"[22, 23, 24, 25, 26, 27, 28, 29, 30]",9,25,0.9718241058290005,0.4024750180542469,0.5693490877747536
