backbone,nominal_target,actual_compression,regime,mean_macro,sd_macro,worst_seed_macro,best_seed_macro
Llama-3.1-8B,15,14.9381305907,Pure,0.36267826963415145,NA,0.36267826963415145,0.36267826963415145
Llama-3.1-8B,15,14.9381305907,CE,0.8553729878971486,0.003295170765128119,0.8530552406542895,0.8591451326794068
Llama-3.1-8B,15,14.9381305907,CE+KD,0.8615016566512523,0.0033433292166222795,0.85812638242041,0.8648120978678141
Llama-3.1-8B,20,19.3255536784,Pure,0.3364934302763761,NA,0.3364934302763761,0.3364934302763761
Llama-3.1-8B,20,19.3255536784,CE,0.6803833743634881,0.17016448182608285,0.48390521370603334,0.7804113548115221
Llama-3.1-8B,20,19.3255536784,CE+KD,0.8595336690913894,0.0031639532801240413,0.8560708278531461,0.8622736274033362
Llama-3.1-8B,25,25.90668831,Pure,0.3405347648485854,NA,0.3405347648485854,0.3405347648485854
Llama-3.1-8B,25,25.90668831,CE,0.8166980810321502,0.05959728500591956,0.7478830660110612,0.8515601881602483
Llama-3.1-8B,25,25.90668831,CE+KD,0.8591683482779017,0.0034939155047985877,0.855843558167855,0.8628098273629181
Llama-3.2-3B,15,13.9527269958,Pure,0.33207202701570926,NA,0.33207202701570926,0.33207202701570926
Llama-3.2-3B,15,13.9527269958,CE,0.8535274701893294,0.001679127326862351,0.8517190338596162,0.855037194019598
Llama-3.2-3B,15,13.9527269958,CE+KD,0.8482918238847924,0.004457006890123404,0.8434925837598364,0.8523009100344765
Llama-3.2-3B,20,20.9290909294,Pure,0.33946485890052297,NA,0.33946485890052297,0.33946485890052297
Llama-3.2-3B,20,20.9290909294,CE,0.8506828873580601,0.005432651890413281,0.8462069675129695,0.8567271989088255
Llama-3.2-3B,20,20.9290909294,CE+KD,0.8505081502410105,0.0009202346568139234,0.8494724611604649,0.8512317687347625
Llama-3.2-3B,25,25.5800002185,Pure,0.33769234988640306,NA,0.33769234988640306,0.33769234988640306
Llama-3.2-3B,25,25.5800002185,CE,0.8460106442859117,0.00119112570821055,0.8453187984675246,0.8473860294214376
Llama-3.2-3B,25,25.5800002185,CE+KD,0.8409990491044347,0.0015739601164883375,0.8398626186646726,0.8427955740735169
