backbone,layer_i,layer_j,C_i_to_j,C_j_to_i,mutual_cost,asymmetry
Llama-3.1-8B,0,1,8.438725858926773,3.9827973395586014,8.438725858926773,4.455928519368172
Llama-3.1-8B,0,2,0.44146847166121006,4.988915592432022,4.988915592432022,4.547447120770812
Llama-3.1-8B,0,3,0.3040536753833294,5.856361985206604,5.856361985206604,5.552308309823275
Llama-3.1-8B,0,4,0.2928552841767669,6.058680549263954,6.058680549263954,5.765825265087187
Llama-3.1-8B,0,5,0.3309888346120715,6.232462719082832,6.232462719082832,5.901473884470761
Llama-3.1-8B,0,6,0.367167454212904,6.389270931482315,6.389270931482315,6.022103477269411
Llama-3.1-8B,0,7,0.26740060467272997,6.540956407785416,6.540956407785416,6.273555803112686
Llama-3.1-8B,0,8,0.2245616875588894,6.245019108057022,6.245019108057022,6.020457420498133
Llama-3.1-8B,0,9,0.23099937289953232,6.37787951529026,6.37787951529026,6.146880142390728
Llama-3.1-8B,0,10,0.2215095441788435,6.538012757897377,6.538012757897377,6.3165032137185335
Llama-3.1-8B,0,11,0.25953567400574684,6.812117666006088,6.812117666006088,6.552581992000341
Llama-3.1-8B,0,12,0.23527183942496777,6.252795100212097,6.252795100212097,6.017523260787129
Llama-3.1-8B,0,13,0.26399359107017517,6.634551823139191,6.634551823139191,6.3705582320690155
Llama-3.1-8B,0,14,0.29609105084091425,6.884000927209854,6.884000927209854,6.58790987636894
Llama-3.1-8B,0,15,0.3129422115162015,7.452819585800171,7.452819585800171,7.139877374283969
Llama-3.1-8B,0,16,0.2736538928002119,6.794696271419525,6.794696271419525,6.521042378619313
Llama-3.1-8B,0,17,0.2911982527002692,6.943839758634567,6.943839758634567,6.652641505934298
Llama-3.1-8B,0,18,0.2651781355962157,6.86010417342186,6.86010417342186,6.594926037825644
Llama-3.1-8B,0,19,0.25964356400072575,6.844161719083786,6.844161719083786,6.58451815508306
Llama-3.1-8B,0,20,0.24859920423477888,6.440282016992569,6.440282016992569,6.19168281275779
Llama-3.1-8B,0,21,0.2225964330136776,6.442138612270355,6.442138612270355,6.219542179256678
Llama-3.1-8B,0,22,0.19291897863149643,6.694458335638046,6.694458335638046,6.50153935700655
Llama-3.1-8B,0,23,0.14907127479091287,6.531107544898987,6.531107544898987,6.382036270108074
Llama-3.1-8B,0,24,0.14866011124104261,6.399480700492859,6.399480700492859,6.250820589251816
Llama-3.1-8B,0,25,0.12732720281928778,6.433821439743042,6.433821439743042,6.306494236923754
Llama-3.1-8B,0,26,0.11579540651291609,6.56694370508194,6.56694370508194,6.451148298569024
Llama-3.1-8B,0,27,0.15765626821666956,6.5539591163396835,6.5539591163396835,6.396302848123014
Llama-3.1-8B,0,28,0.10371453501284122,7.072619199752808,7.072619199752808,6.968904664739966
Llama-3.1-8B,0,29,0.18255739100277424,6.6611398458480835,6.6611398458480835,6.478582454845309
Llama-3.1-8B,0,30,0.29289958998560905,7.197738409042358,7.197738409042358,6.904838819056749
Llama-3.1-8B,0,31,0.9662706106901169,9.012177079916,9.012177079916,8.045906469225883
Llama-3.1-8B,1,2,0.45837492495775223,9.406391471624374,9.406391471624374,8.948016546666622
Llama-3.1-8B,1,3,0.39802672155201435,8.788843899965286,8.788843899965286,8.390817178413272
Llama-3.1-8B,1,4,0.4133476670831442,9.223736435174942,9.223736435174942,8.810388768091798
