backbone,target,regime,seed,task,accuracy
Llama-3.2-3B,15,Pure,NA,PIQA,0.49510337323177367
Llama-3.2-3B,15,Pure,NA,SocialIQA,0.32906857727737976
Llama-3.2-3B,15,Pure,NA,WinoGrande,0.4956590370955012
Llama-3.2-3B,15,Pure,NA,ARC_C,0.22696245733788395
Llama-3.2-3B,15,Pure,NA,ARC_E,0.25126262626262624
Llama-3.2-3B,15,Pure,NA,HellaSwag,0.2504481179047998
Llama-3.2-3B,15,Pure,NA,OpenBookQA,0.276
Llama-3.2-3B,15,CE,42,PIQA,0.8601741022850925
Llama-3.2-3B,15,CE,42,SocialIQA,0.7968270214943706
Llama-3.2-3B,15,CE,42,WinoGrande,0.8516179952644041
Llama-3.2-3B,15,CE,42,ARC_C,0.7747440273037542
Llama-3.2-3B,15,CE,42,ARC_E,0.8838383838383839
Llama-3.2-3B,15,CE,42,HellaSwag,0.9448317068313085
Llama-3.2-3B,15,CE,42,OpenBookQA,0.85
Llama-3.2-3B,15,CE,43,PIQA,0.8628944504896626
Llama-3.2-3B,15,CE,43,SocialIQA,0.8075742067553736
Llama-3.2-3B,15,CE,43,WinoGrande,0.8555643251775849
Llama-3.2-3B,15,CE,43,ARC_C,0.7841296928327645
Llama-3.2-3B,15,CE,43,ARC_E,0.8926767676767676
Llama-3.2-3B,15,CE,43,HellaSwag,0.9419438358892651
Llama-3.2-3B,15,CE,43,OpenBookQA,0.832
Llama-3.2-3B,15,CE,44,PIQA,0.8677910772578891
Llama-3.2-3B,15,CE,44,SocialIQA,0.8091095189355169
Llama-3.2-3B,15,CE,44,WinoGrande,0.8634569850039463
Llama-3.2-3B,15,CE,44,ARC_C,0.7670648464163823
Llama-3.2-3B,15,CE,44,ARC_E,0.8872053872053872
Llama-3.2-3B,15,CE,44,HellaSwag,0.9446325433180641
Llama-3.2-3B,15,CE,44,OpenBookQA,0.846
Llama-3.2-3B,15,CE+KD,42,PIQA,0.8590859630032645
Llama-3.2-3B,15,CE+KD,42,SocialIQA,0.8014329580348004
Llama-3.2-3B,15,CE+KD,42,WinoGrande,0.8492501973164956
Llama-3.2-3B,15,CE+KD,42,ARC_C,0.7568259385665529
Llama-3.2-3B,15,CE+KD,42,ARC_E,0.8712121212121212
Llama-3.2-3B,15,CE+KD,42,HellaSwag,0.9426409081856204
Llama-3.2-3B,15,CE+KD,42,OpenBookQA,0.824
Llama-3.2-3B,15,CE+KD,43,PIQA,0.8618063112078346
Llama-3.2-3B,15,CE+KD,43,SocialIQA,0.8019447287615148
Llama-3.2-3B,15,CE+KD,43,WinoGrande,0.8476716653512234
Llama-3.2-3B,15,CE+KD,43,ARC_C,0.7551194539249146
Llama-3.2-3B,15,CE+KD,43,ARC_E,0.882996632996633
Llama-3.2-3B,15,CE+KD,43,HellaSwag,0.944035052778331
Llama-3.2-3B,15,CE+KD,43,OpenBookQA,0.85
Llama-3.2-3B,15,CE+KD,44,PIQA,0.8634385201305768
Llama-3.2-3B,15,CE+KD,44,SocialIQA,0.8055271238485159
Llama-3.2-3B,15,CE+KD,44,WinoGrande,0.8634569850039463
Llama-3.2-3B,15,CE+KD,44,ARC_C,0.7619453924914675
Llama-3.2-3B,15,CE+KD,44,ARC_E,0.8872053872053872
Llama-3.2-3B,15,CE+KD,44,HellaSwag,0.944532961561442
Llama-3.2-3B,15,CE+KD,44,OpenBookQA,0.84
Llama-3.2-3B,20,Pure,NA,PIQA,0.5021762785636561
Llama-3.2-3B,20,Pure,NA,SocialIQA,0.33469805527123847
Llama-3.2-3B,20,Pure,NA,WinoGrande,0.5043409629044988
Llama-3.2-3B,20,Pure,NA,ARC_C,0.2764505119453925
Llama-3.2-3B,20,Pure,NA,ARC_E,0.25462962962962965
Llama-3.2-3B,20,Pure,NA,HellaSwag,0.24795857398924517
Llama-3.2-3B,20,Pure,NA,OpenBookQA,0.256
Llama-3.2-3B,20,CE,42,PIQA,0.8541893362350381
Llama-3.2-3B,20,CE,42,SocialIQA,0.8004094165813715
Llama-3.2-3B,20,CE,42,WinoGrande,0.8579321231254933
Llama-3.2-3B,20,CE,42,ARC_C,0.7602389078498294
Llama-3.2-3B,20,CE,42,ARC_E,0.882996632996633
Llama-3.2-3B,20,CE,42,HellaSwag,0.944035052778331
Llama-3.2-3B,20,CE,42,OpenBookQA,0.844
Llama-3.2-3B,20,CE,43,PIQA,0.85310119695321
Llama-3.2-3B,20,CE,43,SocialIQA,0.7993858751279427
Llama-3.2-3B,20,CE,43,WinoGrande,0.8531965272296764
Llama-3.2-3B,20,CE,43,ARC_C,0.7593856655290102
Llama-3.2-3B,20,CE,43,ARC_E,0.8779461279461279
Llama-3.2-3B,20,CE,43,HellaSwag,0.9444333798048198
Llama-3.2-3B,20,CE,43,OpenBookQA,0.836
Llama-3.2-3B,20,CE,44,PIQA,0.8579978237214363
Llama-3.2-3B,20,CE,44,SocialIQA,0.8183213920163767
Llama-3.2-3B,20,CE,44,WinoGrande,0.856353591160221
Llama-3.2-3B,20,CE,44,ARC_C,0.7679180887372014
Llama-3.2-3B,20,CE,44,ARC_E,0.8905723905723906
Llama-3.2-3B,20,CE,44,HellaSwag,0.9459271061541525
Llama-3.2-3B,20,CE,44,OpenBookQA,0.86
Llama-3.2-3B,20,CE+KD,42,PIQA,0.8672470076169749
Llama-3.2-3B,20,CE+KD,42,SocialIQA,0.7958034800409417
Llama-3.2-3B,20,CE+KD,42,WinoGrande,0.8539857932123125
