comparison,model_id,seed,task,n,ours_accuracy,other_accuracy,delta_accuracy,ci95_low,ci95_high,significant,bootstrap_samples,delta_pp,ci95_low_pp,ci95_high_pp
Ours-Basis Sharing,3b_15,42,macro,19149,0.8434925837598364,0.7295669177826563,0.1139256659771801,0.10509581444821989,0.12290314671716443,True,10000,11.392566597718009,10.509581444821988,12.290314671716443
Ours-Basis Sharing,3b_15,43,macro,19149,0.8490819778600646,0.7309348444520848,0.11814713340797968,0.10915926358456188,0.12724844832974305,True,10000,11.814713340797969,10.915926358456188,12.724844832974306
Ours-Basis Sharing,3b_15,44,macro,19149,0.8523009100344765,0.7372383715594646,0.11506253847501194,0.10627696982394182,0.12388171699015245,True,10000,11.506253847501194,10.627696982394182,12.388171699015246
Ours-Basis Sharing,3b_20,42,macro,19149,0.8512317687347624,0.7034161492121717,0.14781561952259076,0.1382017725669811,0.1572574026953158,True,10000,14.781561952259075,13.820177256698111,15.72574026953158
Ours-Basis Sharing,3b_20,43,macro,19149,0.850820220827804,0.7057228772122902,0.14509734361551388,0.13569112852827284,0.15480938464908348,True,10000,14.509734361551388,13.569112852827283,15.480938464908348
Ours-Basis Sharing,3b_20,44,macro,19149,0.8494724611604649,0.7037039937735841,0.1457684673868808,0.13626884877204506,0.15532507139300114,True,10000,14.57684673868808,13.626884877204507,15.532507139300114
Ours-Basis Sharing,3b_25,42,macro,19149,0.8403389545751149,0.6681985796759002,0.1721403748992145,0.16230134892604733,0.18181320171189,True,10000,17.21403748992145,16.230134892604735,18.181320171189
Ours-Basis Sharing,3b_25,43,macro,19149,0.8398626186646725,0.6619005102089809,0.17796210845569188,0.16789770796718548,0.18797530668870033,True,10000,17.79621084556919,16.789770796718546,18.79753066887003
Ours-Basis Sharing,3b_25,44,macro,19149,0.842795574073517,0.672219367669362,0.17057620640415508,0.16033910008307667,0.180341516172065,True,10000,17.057620640415507,16.033910008307668,18.0341516172065
Ours-Basis Sharing,8b_15,42,macro,19149,0.8581263824204098,0.7829041995627338,0.07522218285767615,0.06655979838957794,0.08394742868046584,True,10000,7.522218285767615,6.655979838957794,8.394742868046585
Ours-Basis Sharing,8b_15,43,macro,19149,0.861566489665533,0.7801895170335061,0.08137697263202662,0.07246124046043004,0.09036013786667567,True,10000,8.137697263202663,7.246124046043004,9.036013786667567
Ours-Basis Sharing,8b_15,44,macro,19149,0.864812097867814,0.7725716413461742,0.09224045652163981,0.08340908527018177,0.10098341353642837,True,10000,9.224045652163982,8.340908527018177,10.098341353642837
Ours-Basis Sharing,8b_20,42,macro,19149,0.856070827853146,0.7611947133079479,0.0948761145451982,0.08597277829542452,0.10379420116462228,True,10000,9.48761145451982,8.597277829542453,10.379420116462228
Ours-Basis Sharing,8b_20,43,macro,19149,0.8622736274033362,0.7543398921795857,0.1079337352237506,0.09873355696718052,0.1171284948886656,True,10000,10.79337352237506,9.873355696718052,11.71284948886656
Ours-Basis Sharing,8b_20,44,macro,19149,0.8602565520176857,0.7526412537096687,0.1076152983080171,0.09849086555925406,0.11659731531793442,True,10000,10.76152983080171,9.849086555925405,11.659731531793442
Ours-Basis Sharing,8b_25,42,macro,19149,0.8558435581678551,0.7150830063052528,0.1407605518626022,0.13109875756543732,0.15061234730537687,True,10000,14.07605518626022,13.109875756543731,15.061234730537688
Ours-Basis Sharing,8b_25,43,macro,19149,0.8588516593029321,0.7172431019238316,0.1416085573791006,0.13185403572696291,0.15123916373304677,True,10000,14.160855737910062,13.185403572696291,15.123916373304677
Ours-Basis Sharing,8b_25,44,macro,19149,0.8628098273629181,0.7039974351805526,0.1588123921823655,0.14880738506939076,0.16889267385829926,True,10000,15.881239218236551,14.880738506939077,16.889267385829925
Ours-SVD-LLM,3b_15,42,macro,19149,0.8434925837598364,0.7274723087316474,0.11602027502818897,0.10670126193495844,0.12514882924417453,True,10000,11.602027502818897,10.670126193495843,12.514882924417453
