comparison,model_id,seed,task,n,ours_accuracy,other_accuracy,delta_accuracy,ci95_low,ci95_high,significant,bootstrap_samples
Ours-Basis Sharing,3b_15,42,ARC-Challenge,1172,0.7568259385665529,0.568259385665529,0.1885665529010239,0.16040955631399317,0.2175767918088737,True,10000
Ours-Basis Sharing,3b_15,42,ARC-Easy,2376,0.8712121212121212,0.742003367003367,0.12920875420875422,0.11195286195286196,0.14646464646464646,True,10000
Ours-Basis Sharing,3b_15,42,hellaswag,10042,0.9426409081856204,0.8422624975104561,0.10037841067516431,0.09330810595498905,0.10764787890858395,True,10000
Ours-Basis Sharing,3b_15,42,openbookqa,500,0.824,0.698,0.126,0.088,0.166,True,10000
Ours-Basis Sharing,3b_15,42,piqa,1838,0.8590859630032645,0.764961915125136,0.0941240478781284,0.07399347116430903,0.11425462459194777,True,10000
Ours-Basis Sharing,3b_15,42,social_i_qa,1954,0.8014329580348004,0.755885363357216,0.045547594677584444,0.028147389969293755,0.06294779938587512,True,10000
Ours-Basis Sharing,3b_15,42,winogrande,1267,0.8492501973164956,0.7355958958168903,0.11365430149960537,0.09076558800315707,0.13654301499605367,True,10000
Ours-Basis Sharing,3b_15,42,macro,19149,0.8434925837598364,0.7295669177826563,0.1139256659771801,0.10509581444821989,0.12290314671716443,True,10000
Ours-Basis Sharing,3b_15,43,ARC-Challenge,1172,0.7551194539249146,0.5725255972696246,0.1825938566552901,0.15358361774744028,0.21245733788395904,True,10000
Ours-Basis Sharing,3b_15,43,ARC-Easy,2376,0.882996632996633,0.7297979797979798,0.1531986531986532,0.13552188552188552,0.17087542087542087,True,10000
Ours-Basis Sharing,3b_15,43,hellaswag,10042,0.944035052778331,0.842162915753834,0.10187213702449711,0.09489892451702849,0.10884285998805018,True,10000
Ours-Basis Sharing,3b_15,43,openbookqa,500,0.85,0.704,0.146,0.106,0.188,True,10000
Ours-Basis Sharing,3b_15,43,piqa,1838,0.8618063112078346,0.7709466811751904,0.09085963003264418,0.07072905331882481,0.11153427638737759,True,10000
Ours-Basis Sharing,3b_15,43,social_i_qa,1954,0.8019447287615148,0.7615148413510747,0.040429887410440124,0.022517911975435005,0.05783009211873081,True,10000
Ours-Basis Sharing,3b_15,43,winogrande,1267,0.8476716653512234,0.7355958958168903,0.11207576953433307,0.08918705603788477,0.13496448303078137,True,10000
Ours-Basis Sharing,3b_15,43,macro,19149,0.8490819778600646,0.7309348444520848,0.11814713340797968,0.10915926358456188,0.12724844832974305,True,10000
Ours-Basis Sharing,3b_15,44,ARC-Challenge,1172,0.7619453924914675,0.590443686006826,0.17150170648464164,0.14334470989761092,0.20051194539249148,True,10000
Ours-Basis Sharing,3b_15,44,ARC-Easy,2376,0.8872053872053872,0.7588383838383839,0.12836700336700338,0.11195286195286196,0.1452020202020202,True,10000
Ours-Basis Sharing,3b_15,44,hellaswag,10042,0.944532961561442,0.8383788090021908,0.10615415255925115,0.09908384783907588,0.11322694682334193,True,10000
Ours-Basis Sharing,3b_15,44,openbookqa,500,0.84,0.7,0.14,0.1,0.18,True,10000
Ours-Basis Sharing,3b_15,44,piqa,1838,0.8634385201305768,0.7774755168661589,0.08596300326441784,0.06692056583242655,0.10500544069640914,True,10000
Ours-Basis Sharing,3b_15,44,social_i_qa,1954,0.8055271238485159,0.7615148413510747,0.044012282497441144,0.026100307062436028,0.06192425793244626,True,10000
Ours-Basis Sharing,3b_15,44,winogrande,1267,0.8634569850039463,0.734017363851618,0.12943962115232832,0.10734017363851618,0.15232833464877663,True,10000
Ours-Basis Sharing,3b_15,44,macro,19149,0.8523009100344765,0.7372383715594646,0.11506253847501194,0.10627696982394182,0.12388171699015245,True,10000
Ours-Basis Sharing,3b_20,42,ARC-Challenge,1172,0.7687713310580204,0.5358361774744027,0.23293515358361774,0.2022184300341297,0.2627986348122867,True,10000
Ours-Basis Sharing,3b_20,42,ARC-Easy,2376,0.8846801346801347,0.7058080808080808,0.17887205387205388,0.15993265993265993,0.19696969696969696,True,10000
Ours-Basis Sharing,3b_20,42,hellaswag,10042,0.9441346345349532,0.813483369846644,0.1306512646883091,0.1231826329416451,0.1382194781915953,True,10000
Ours-Basis Sharing,3b_20,42,openbookqa,500,0.844,0.682,0.162,0.12,0.204,True,10000
Ours-Basis Sharing,3b_20,42,piqa,1838,0.8672470076169749,0.735038084874864,0.132208922742111,0.11099020674646355,0.15397170837867247,True,10000
Ours-Basis Sharing,3b_20,42,social_i_qa,1954,0.7958034800409417,0.7374616171954964,0.05834186284544524,0.03940634595701126,0.0767656090071648,True,10000
Ours-Basis Sharing,3b_20,42,winogrande,1267,0.8539857932123125,0.7142857142857143,0.13970007892659828,0.11523283346487766,0.16416732438831885,True,10000
Ours-Basis Sharing,3b_20,42,macro,19149,0.8512317687347624,0.7034161492121717,0.14781561952259076,0.1382017725669811,0.1572574026953158,True,10000
Ours-Basis Sharing,3b_20,43,ARC-Challenge,1172,0.7704778156996587,0.5452218430034129,0.22525597269624573,0.1945392491467577,0.25597269624573377,True,10000
Ours-Basis Sharing,3b_20,43,ARC-Easy,2376,0.8884680134680135,0.6986531986531986,0.18981481481481483,0.1712962962962963,0.20917508417508418,True,10000
Ours-Basis Sharing,3b_20,43,hellaswag,10042,0.9417446723760207,0.8013343955387373,0.1404102768372834,0.1328420633339972,0.14847639912368055,True,10000
Ours-Basis Sharing,3b_20,43,openbookqa,500,0.848,0.69,0.158,0.118,0.2,True,10000
Ours-Basis Sharing,3b_20,43,piqa,1838,0.8618063112078346,0.7415669205658324,0.12023939064200218,0.09902067464635474,0.14145810663764963,True,10000
Ours-Basis Sharing,3b_20,43,social_i_qa,1954,0.7983623336745138,0.7482088024564995,0.05015353121801433,0.031218014329580348,0.06807830092118712,True,10000
Ours-Basis Sharing,3b_20,43,winogrande,1267,0.8468823993685872,0.7150749802683505,0.13180741910023677,0.10812943962115233,0.15627466456195738,True,10000
Ours-Basis Sharing,3b_20,43,macro,19149,0.850820220827804,0.7057228772122902,0.14509734361551388,0.13569112852827284,0.15480938464908348,True,10000
Ours-Basis Sharing,3b_20,44,ARC-Challenge,1172,0.7542662116040956,0.5366894197952219,0.2175767918088737,0.18854522184300343,0.24829351535836178,True,10000
Ours-Basis Sharing,3b_20,44,ARC-Easy,2376,0.8792087542087542,0.7117003367003367,0.1675084175084175,0.1494107744107744,0.18518518518518517,True,10000
Ours-Basis Sharing,3b_20,44,hellaswag,10042,0.9451304521011751,0.8061143198566023,0.1390161322445728,0.13144791874128658,0.1466864170483967,True,10000
Ours-Basis Sharing,3b_20,44,openbookqa,500,0.842,0.678,0.164,0.122,0.206,True,10000
Ours-Basis Sharing,3b_20,44,piqa,1838,0.8612622415669206,0.750272034820457,0.11099020674646355,0.09031556039173014,0.13166485310119697,True,10000
Ours-Basis Sharing,3b_20,44,social_i_qa,1954,0.808085977482088,0.7343909928352098,0.0736949846468782,0.054759467758444216,0.0931422722620266,True,10000
Ours-Basis Sharing,3b_20,44,winogrande,1267,0.856353591160221,0.7087608524072613,0.14759273875295975,0.12312549329123915,0.17205998421468036,True,10000
Ours-Basis Sharing,3b_20,44,macro,19149,0.8494724611604649,0.7037039937735841,0.1457684673868808,0.13626884877204506,0.15532507139300114,True,10000
Ours-Basis Sharing,3b_25,42,ARC-Challenge,1172,0.7482935153583617,0.49402730375426623,0.25426621160409557,0.22184300341296928,0.2858361774744027,True,10000
Ours-Basis Sharing,3b_25,42,ARC-Easy,2376,0.875,0.6675084175084175,0.2074915824915825,0.1885416666666667,0.22685185185185186,True,10000
Ours-Basis Sharing,3b_25,42,hellaswag,10042,0.9352718581955786,0.7769368651663016,0.15833499302927703,0.1503684524995021,0.16650069707229637,True,10000
Ours-Basis Sharing,3b_25,42,openbookqa,500,0.842,0.638,0.204,0.162,0.246,True,10000
Ours-Basis Sharing,3b_25,42,piqa,1838,0.8525571273122959,0.7029379760609358,0.14961915125136016,0.1267682263329706,0.17247007616974971,True,10000
