backbone,nominal_target,method,pure,ce_mean,ce_sd,cekd_mean,cekd_sd,provenance
Llama-3.2-3B,15,Basis Sharing,0.3320,0.7104,0.0012,0.7128,0.0052,frozen_paper_aggregate
Llama-3.2-3B,15,SVD-LLM,0.3320,0.5736,0.2032,0.7078,0.0013,frozen_paper_aggregate
Llama-3.2-3B,15,Ours,0.3321,0.8535,0.0017,0.8483,0.0047,frozen_paper_aggregate
Llama-3.2-3B,20,Basis Sharing,0.3320,0.4891,0.1384,0.6815,0.0054,frozen_paper_aggregate
Llama-3.2-3B,20,SVD-LLM,0.3320,0.3349,0.0022,0.6732,0.0028,frozen_paper_aggregate
Llama-3.2-3B,20,Ours,0.3395,0.8507,0.0054,0.8506,0.0008,frozen_paper_aggregate
Llama-3.2-3B,25,Basis Sharing,0.3322,0.3373,0.0048,0.6506,0.0020,frozen_paper_aggregate
Llama-3.2-3B,25,SVD-LLM,0.3322,0.3362,0.0037,0.6358,0.0073,frozen_paper_aggregate
Llama-3.2-3B,25,Ours,0.3377,0.8460,0.0012,0.8409,0.0018,frozen_paper_aggregate
Llama-3.1-8B,15,Basis Sharing,0.3327,0.7605,0.0039,0.7643,0.0047,frozen_paper_aggregate
Llama-3.1-8B,15,SVD-LLM,0.3321,0.7443,0.0019,0.7531,0.0089,frozen_paper_aggregate
Llama-3.1-8B,15,Ours,0.3627,0.8554,0.0033,0.8614,0.0033,frozen_paper_aggregate
Llama-3.1-8B,20,Basis Sharing,0.3320,0.7281,0.0075,0.7389,0.0054,frozen_paper_aggregate
Llama-3.1-8B,20,SVD-LLM,0.3320,0.5877,0.2174,0.7301,0.0074,frozen_paper_aggregate
Llama-3.1-8B,20,Ours,0.3365,0.6804,0.1702,0.8594,0.0034,frozen_paper_aggregate
Llama-3.1-8B,25,Basis Sharing,0.3320,0.3316,0.0004,0.6996,0.0064,frozen_paper_aggregate
Llama-3.1-8B,25,SVD-LLM,0.3321,0.3332,0.0026,0.6964,0.0034,frozen_paper_aggregate
Llama-3.1-8B,25,Ours,0.3405,0.8167,0.0596,0.8592,0.0036,frozen_paper_aggregate
