method,precision,scope,examples,accuracy
Basis Sharing,BF16,ARC_C,1172,0.5546075085324232
Basis Sharing,BF16,ARC_E,2376,0.7234848484848485
Basis Sharing,BF16,HellaSwag,10042,0.8190599482174865
Basis Sharing,BF16,OpenBookQA,500,0.676
Basis Sharing,BF16,PIQA,1838,0.73449401523395
Basis Sharing,BF16,SocialIQA,1954,0.7164790174002047
Basis Sharing,BF16,WinoGrande,1267,0.7150749802683505
Basis Sharing,BF16,Macro,19149,0.7056000454481806
Basis Sharing,W8A16,ARC_C,1172,0.5580204778156996
Basis Sharing,W8A16,ARC_E,2376,0.7209595959595959
Basis Sharing,W8A16,HellaSwag,10042,0.8180641306512647
Basis Sharing,W8A16,OpenBookQA,500,0.678
Basis Sharing,W8A16,PIQA,1838,0.7323177366702938
Basis Sharing,W8A16,SocialIQA,1954,0.7221084953940634
Basis Sharing,W8A16,WinoGrande,1267,0.7111286503551697
Basis Sharing,W8A16,Macro,19149,0.705799869549441
Basis Sharing,W4A16,ARC_C,1172,0.24914675767918087
Basis Sharing,W4A16,ARC_E,2376,0.2849326599326599
Basis Sharing,W4A16,HellaSwag,10042,0.2575184226249751
Basis Sharing,W4A16,OpenBookQA,500,0.284
Basis Sharing,W4A16,PIQA,1838,0.4972796517954298
Basis Sharing,W4A16,SocialIQA,1954,0.44575230296827023
Basis Sharing,W4A16,WinoGrande,1267,0.4964483030781373
Basis Sharing,W4A16,Macro,19149,0.35929687115409337
SVD-LLM,BF16,ARC_C,1172,0.5554607508532423
SVD-LLM,BF16,ARC_E,2376,0.7121212121212122
SVD-LLM,BF16,HellaSwag,10042,0.7913762198765186
SVD-LLM,BF16,OpenBookQA,500,0.676
SVD-LLM,BF16,PIQA,1838,0.7399347116430903
SVD-LLM,BF16,SocialIQA,1954,0.7343909928352098
SVD-LLM,BF16,WinoGrande,1267,0.7229676400947119
SVD-LLM,BF16,Macro,19149,0.7046073610605693
SVD-LLM,W8A16,ARC_C,1172,0.5554607508532423
SVD-LLM,W8A16,ARC_E,2376,0.7091750841750841
SVD-LLM,W8A16,HellaSwag,10042,0.7903804023102967
SVD-LLM,W8A16,OpenBookQA,500,0.66
SVD-LLM,W8A16,PIQA,1838,0.7393906420021763
SVD-LLM,W8A16,SocialIQA,1954,0.7333674513817809
SVD-LLM,W8A16,WinoGrande,1267,0.7205998421468035
SVD-LLM,W8A16,Macro,19149,0.7011963104099121
SVD-LLM,W4A16,ARC_C,1172,0.4257679180887372
SVD-LLM,W4A16,ARC_E,2376,0.6001683501683501
SVD-LLM,W4A16,HellaSwag,10042,0.5542720573590918
SVD-LLM,W4A16,OpenBookQA,500,0.57
SVD-LLM,W4A16,PIQA,1838,0.6588683351468988
SVD-LLM,W4A16,SocialIQA,1954,0.6463664278403275
SVD-LLM,W4A16,WinoGrande,1267,0.5832675611681136
SVD-LLM,W4A16,Macro,19149,0.5769586642530742
