method,comparison,scope,examples,difference,difference_pp,ci95_low,ci95_high,ci95_low_pp,ci95_high_pp,n_bootstrap
Basis Sharing,W8A16 - BF16,ARC_C,1172,0.0034129692832764505,0.3412969283276451,-0.004266211604095563,0.011092150170648464,-0.42662116040955633,1.1092150170648465,10000
Basis Sharing,W8A16 - BF16,ARC_E,2376,-0.0025252525252525255,-0.25252525252525254,-0.007996632996632997,0.002946127946127946,-0.7996632996632996,0.2946127946127946,10000
Basis Sharing,W8A16 - BF16,HellaSwag,10042,-0.0009958175662218682,-0.09958175662218682,-0.003186616211909978,0.0011949810794662419,-0.3186616211909978,0.11949810794662419,10000
Basis Sharing,W8A16 - BF16,OpenBookQA,500,0.002,0.2,-0.006,0.012,-0.6,1.2,10000
Basis Sharing,W8A16 - BF16,PIQA,1838,-0.002176278563656148,-0.2176278563656148,-0.008161044613710556,0.003808487486398259,-0.8161044613710555,0.38084874863982593,10000
Basis Sharing,W8A16 - BF16,SocialIQA,1954,0.005629477993858751,0.5629477993858751,0.0,0.011258955987717503,0.0,1.1258955987717503,10000
Basis Sharing,W8A16 - BF16,WinoGrande,1267,-0.003946329913180742,-0.3946329913180742,-0.010260457774269928,0.0023677979479084454,-1.0260457774269929,0.23677979479084454,10000
Basis Sharing,W8A16 - BF16,Macro,19149,0.0001998241012605597,0.01998241012605597,-0.0021270624645279793,0.0025197353324200988,-0.21270624645279793,0.2519735332420099,10000
Basis Sharing,W4A16 - BF16,ARC_C,1172,-0.3054607508532423,-30.546075085324233,-0.3412969283276451,-0.2696245733788396,-34.129692832764505,-26.96245733788396,10000
Basis Sharing,W4A16 - BF16,ARC_E,2376,-0.4385521885521885,-43.85521885521885,-0.4621212121212121,-0.4137205387205387,-46.21212121212121,-41.37205387205387,10000
Basis Sharing,W4A16 - BF16,HellaSwag,10042,-0.5615415255925115,-56.154152559251145,-0.5727942640908186,-0.549788388767178,-57.27942640908186,-54.978838876717795,10000
Basis Sharing,W4A16 - BF16,OpenBookQA,500,-0.392,-39.2,-0.446,-0.336,-44.6,-33.6,10000
Basis Sharing,W4A16 - BF16,PIQA,1838,-0.23721436343852012,-23.721436343852012,-0.2687704026115343,-0.20565832426550598,-26.87704026115343,-20.5658324265506,10000
Basis Sharing,W4A16 - BF16,SocialIQA,1954,-0.27072671443193447,-27.072671443193446,-0.2983623336745138,-0.24309109518935518,-29.83623336745138,-24.309109518935518,10000
Basis Sharing,W4A16 - BF16,WinoGrande,1267,-0.21862667719021311,-21.86266771902131,-0.2549329123914759,-0.1815114443567485,-25.49329123914759,-18.15114443567485,10000
Basis Sharing,W4A16 - BF16,Macro,19149,-0.34630317429408713,-34.63031742940871,-0.3589955327886393,-0.3335210821748898,-35.899553278863934,-33.35210821748898,10000
SVD-LLM,W8A16 - BF16,ARC_C,1172,0.0,0.0,-0.007679180887372013,0.007679180887372013,-0.7679180887372014,0.7679180887372014,10000
SVD-LLM,W8A16 - BF16,ARC_E,2376,-0.002946127946127946,-0.2946127946127946,-0.008417508417508417,0.0025252525252525255,-0.8417508417508417,0.25252525252525254,10000
SVD-LLM,W8A16 - BF16,HellaSwag,10042,-0.0009958175662218682,-0.09958175662218682,-0.0035849432383987254,0.001593308105954989,-0.35849432383987256,0.1593308105954989,10000
SVD-LLM,W8A16 - BF16,OpenBookQA,500,-0.016,-1.6,-0.032,-0.002,-3.2,-0.2,10000
SVD-LLM,W8A16 - BF16,PIQA,1838,-0.000544069640914037,-0.0544069640914037,-0.007072905331882481,0.005984766050054407,-0.7072905331882481,0.5984766050054406,10000
SVD-LLM,W8A16 - BF16,SocialIQA,1954,-0.0010235414534288639,-0.1023541453428864,-0.007164790174002047,0.00511770726714432,-0.7164790174002047,0.511770726714432,10000
SVD-LLM,W8A16 - BF16,WinoGrande,1267,-0.0023677979479084454,-0.23677979479084454,-0.010260457774269928,0.0055248618784530384,-1.0260457774269929,0.5524861878453038,10000
SVD-LLM,W8A16 - BF16,Macro,19149,-0.0034110506506573085,-0.34110506506573085,-0.006456998077897642,-0.00046465041865981286,-0.6456998077897642,-0.046465041865981285,10000
SVD-LLM,W4A16 - BF16,ARC_C,1172,-0.1296928327645051,-12.969283276450511,-0.15784982935153583,-0.09982935153583618,-15.784982935153582,-9.982935153583618,10000
SVD-LLM,W4A16 - BF16,ARC_E,2376,-0.11195286195286196,-11.195286195286196,-0.1308922558922559,-0.09343434343434344,-13.08922558922559,-9.343434343434344,10000
SVD-LLM,W4A16 - BF16,HellaSwag,10042,-0.2371041625174268,-23.71041625174268,-0.24736108344951205,-0.2267476598287194,-24.736108344951205,-22.67476598287194,10000
SVD-LLM,W4A16 - BF16,OpenBookQA,500,-0.106,-10.6,-0.148,-0.064,-14.799999999999999,-6.4,10000
SVD-LLM,W4A16 - BF16,PIQA,1838,-0.08106637649619151,-8.10663764961915,-0.10338683351468987,-0.058759521218716,-10.338683351468987,-5.8759521218716,10000
SVD-LLM,W4A16 - BF16,SocialIQA,1954,-0.08802456499488229,-8.802456499488228,-0.10747185261003071,-0.06857727737973388,-10.747185261003072,-6.857727737973388,10000
SVD-LLM,W4A16 - BF16,WinoGrande,1267,-0.13970007892659828,-13.970007892659828,-0.17048145224940806,-0.10891870560378848,-17.048145224940807,-10.891870560378848,10000
SVD-LLM,W4A16 - BF16,Macro,19149,-0.12764869680749516,-12.764869680749516,-0.13773763262298486,-0.11752922500047515,-13.773763262298486,-11.752922500047514,10000
