method,model_id,backbone,target,reduction,dense_bytes,compressed_bytes
Ours,3b_15,Llama-3.2-3B,15,13.952624918089391,6425529112,5528999136
Ours,3b_20,Llama-3.2-3B,20,20.928963087079076,6425529112,5080732496
Ours,3b_25,Llama-3.2-3B,25,25.579855158237745,6425529112,4781888072
Ours,8b_15,Llama-3.1-8B,15,15.26452739226781,16060556616,13608988552
Ours,8b_20,Llama-3.1-8B,20,19.625827344364065,16060556616,12908539504
Ours,8b_25,Llama-3.1-8B,25,26.167777297414187,16060556616,11857865928
Basis Sharing,3b_15,Llama-3.2-3B,15,14.998553569453621,6425604066,5461856398
Basis Sharing,3b_20,Llama-3.2-3B,20,19.998554327359017,6425604066,5140576146
Basis Sharing,3b_25,Llama-3.2-3B,25,24.998364037078534,6425604066,4819308170
Basis Sharing,8b_15,Llama-3.1-8B,15,14.999313124648562,16060643284,13651657108
Basis Sharing,8b_20,Llama-3.1-8B,20,19.99934497766908,16060643284,12848619828
Basis Sharing,8b_25,Llama-3.1-8B,25,24.99927526564197,16060643284,12045598860
SVD-LLM,3b_15,Llama-3.2-3B,15,14.998373975443759,6425604066,5461867938
SVD-LLM,3b_20,Llama-3.2-3B,20,19.99828004964413,6425604066,5140593770
SVD-LLM,3b_25,Llama-3.2-3B,25,24.99818519008015,6425604066,4819319662
SVD-LLM,8b_15,Llama-3.1-8B,15,14.999213651671562,16060643284,13651673084
SVD-LLM,8b_20,Llama-3.1-8B,20,19.9992072496864,16060643284,12848641948
SVD-LLM,8b_25,Llama-3.1-8B,25,24.99915036404466,16060643284,12045618920
